entity_id,state,last_changed
sensor.solarbank_3_e2700_pro_ac_hausabgabe,222,2025-11-22T09:29:40.560Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,240,2025-11-22T09:34:40.561Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,242,2025-11-22T09:39:06.586Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,245,2025-11-22T09:49:35.653Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,241,2025-11-22T09:54:37.576Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,244,2025-11-22T09:55:37.584Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,242,2025-11-22T09:56:37.574Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,244,2025-11-22T09:57:37.633Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,250,2025-11-22T09:59:04.408Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,235,2025-11-22T10:00:04.601Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,212,2025-11-22T10:04:06.643Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,215,2025-11-22T10:09:34.475Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,200,2025-11-22T10:14:34.572Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,799,2025-11-22T10:20:00.417Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,237,2025-11-22T10:25:01.604Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,239,2025-11-22T10:30:29.414Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,231,2025-11-22T10:34:30.579Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,195,2025-11-22T10:39:31.561Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,179,2025-11-22T10:44:58.603Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,278,2025-11-22T10:50:00.600Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,799,2025-11-22T10:54:26.583Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,187,2025-11-22T10:59:26.598Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,369,2025-11-22T11:01:53.431Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,179,2025-11-22T11:02:53.592Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,211,2025-11-22T11:03:53.612Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,658,2025-11-22T11:04:54.593Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,178,2025-11-22T11:05:54.567Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,217,2025-11-22T11:06:54.584Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,176,2025-11-22T11:09:55.707Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,259,2025-11-22T11:15:23.591Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,799,2025-11-22T11:20:24.576Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,797,2025-11-22T11:24:50.568Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,799,2025-11-22T11:25:50.626Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,798,2025-11-22T11:26:51.636Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,800,2025-11-22T11:27:52.594Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,799,2025-11-22T11:29:53.569Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,798,2025-11-22T11:30:53.605Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,350,2025-11-22T11:31:53.571Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,261,2025-11-22T11:33:19.432Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,798,2025-11-22T11:34:19.584Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,795,2025-11-22T11:35:19.575Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,224,2025-11-22T11:40:20.609Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,210,2025-11-22T11:44:48.616Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,209,2025-11-22T11:45:49.576Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,215,2025-11-22T11:47:49.582Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,329,2025-11-22T11:48:49.586Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,213,2025-11-22T11:49:49.591Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,211,2025-11-22T11:55:15.600Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,220,2025-11-22T12:00:18.617Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,216,2025-11-22T12:05:45.592Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,186,2025-11-22T12:08:45.593Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,185,2025-11-22T12:09:45.592Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,184,2025-11-22T12:11:45.647Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,188,2025-11-22T12:12:46.581Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,187,2025-11-22T12:13:46.590Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,265,2025-11-22T12:16:12.593Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,206,2025-11-22T12:20:14.288Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,210,2025-11-22T12:25:43.442Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,201,2025-11-22T12:30:45.648Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,200,2025-11-22T12:37:12.564Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,323,2025-11-22T12:38:12.564Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,800,2025-11-22T12:39:12.560Z
